kind,dataset_id,key,decision,reason,reviewer,reviewed_at,comment,legacy_file_uid
annotation,ANN_EIRLPRJ_01272,07aec4b2-b16f-4eff-a10d-ef5d048b3636,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01272,32cdebfd-39cd-4da5-b5c1-8515609aa51c,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01272,768c3d56-d994-40a7-a72a-f9bf5fbbaa95,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01272,9d4f168e-0b43-4f04-a9f3-4eb3c42ad727,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01272,a5bdcca4-bdc6-4a1a-b5fb-afc485a010b5,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01272,a6597b3b-2e9b-45fa-8807-5462f627636e,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01272,ad8fba6b-bdd5-4978-8890-600b704d178e,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01272,ae28a32b-1b24-4a6a-9cab-00f5191bdab9,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01272,bca9201f-9710-43bf-a4cd-d3113960db59,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01272,cee85821-db97-4f2d-9830-70202514201d,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01272,ebabde8a-c76f-457b-802e-30eeacf02f4f,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01272,eeb4e8a2-e4c6-4226-9e1f-2c590cfea6c9,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01272,f278645a-2804-4c8e-844e-c6f5be76f1c7,keep,,unknown,,,
annotation,ANN_EIRLPRJ_01331,0009bb4f-af96-43e6-8a2c-fb80938a0010,keep,visually_valid,unknown,,,
annotation,ANN_EIRLPRJ_01331,00ad07c3-9fb5-4f12-84cf-2dfce202a90a,keep,visually_valid,unknown,,,
annotation,ANN_EIRLPRJ_01331,014bed3c-e7f3-4bcf-96ef-036dc4221d27,keep,visually_valid,unknown,,,
annotation,ANN_EIRLPRJ_01331,01a08795-383f-4530-a2d3-8cecbfcdd56b,keep,visually_valid,unknown,,,
annotation,ANN_EIRLPRJ_01331,01d105e1-0c62-4fbb-9336-57f2b517ada6,keep,visually_valid,unknown,,,
annotation,ANN_EIRLPRJ_01331,028ffe3f-4d93-4975-b46a-f41824f716b5,keep,visually_valid,unknown,,,
annotation,ANN_EIRLPRJ_01331,02d267aa-7601-47e5-8825-d1091a079f96,keep,visually_valid,unknown,,,
annotation,ANN_EIRLPRJ_01331,02e481fd-763a-486d-9cd9-195650a491b2,keep,visually_valid,unknown,,,
annotation,ANN_EIRLPRJ_01331,02f9a0d8-81f8-4576-8708-dfb202d214ec,keep,visually_valid,unknown,,,
